segmento,n,% afición,Sesiones app,Duración media (min),Apertura notificaciones,Compras entradas,Gasto tienda (EUR),Plataformas seguidas,Interacciones RRSS,Valor percibido (1-7),Interacción y eWOM (1-7),Información adicional (1-7)
Aficionado latente,170,26.6,51.40588235294118,2.663827540106952,0.15312766720828488,0.8647058823529412,5.582882352941176,1.5647058823529412,27.2,4.186764705882353,2.948529411764706,3.2794117647058822
Comprador de servicios,159,24.8,347.1069182389937,8.621102058319039,0.5859290273110183,6.9937106918239,63.308616352201255,1.8427672955974843,46.64779874213836,5.004716981132075,3.79874213836478,5.081761006289308
Hincha digital intensivo,107,16.7,325.8785046728972,8.401508071367886,0.5556329739868736,6.308411214953271,70.75084112149533,3.4018691588785046,208.29906542056074,5.408878504672897,5.142523364485982,4.724299065420561
Seguidor social,204,31.9,129.06372549019608,5.032846479500892,0.30863036879267475,2.357843137254902,22.325686274509803,2.5098039215686274,85.03921568627452,4.583333333333333,4.1838235294117645,3.514705882352941
