segmento,n,% afición,Sesiones app,Duración media (min),Apertura notificaciones,Compras entradas,Gasto tienda (EUR),Plataformas seguidas,Interacciones RRSS,Valor percibido (1-7),Interacción y eWOM (1-7),Información adicional (1-7)
Aficionado latente,170,26.6,51.41,2.66,0.15,0.86,5.58,1.56,27.2,4.19,2.95,3.28
Comprador de servicios,159,24.8,347.11,8.62,0.59,6.99,63.31,1.84,46.65,5.0,3.8,5.08
Hincha digital intensivo,107,16.7,325.88,8.4,0.56,6.31,70.75,3.4,208.3,5.41,5.14,4.72
Seguidor social,204,31.9,129.06,5.03,0.31,2.36,22.33,2.51,85.04,4.58,4.18,3.51
