segmento,Sesiones app,Duración media (min),Apertura notificaciones,Compras entradas,Gasto tienda (EUR),Plataformas seguidas,Interacciones RRSS,Valor percibido (1-7),Interacción y eWOM (1-7),Información adicional (1-7)
Aficionado latente,-1.06,-1.15,-1.15,-0.91,-0.61,-0.62,-0.67,-0.66,-0.88,-0.61
Comprador de servicios,1.12,1.0,1.07,1.01,0.54,-0.36,-0.43,0.35,-0.11,0.82
Hincha digital intensivo,0.96,0.92,0.91,0.8,0.69,1.06,1.6,0.85,1.11,0.54
Seguidor social,-0.49,-0.3,-0.35,-0.44,-0.28,0.24,0.05,-0.17,0.24,-0.42
